record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1,2,3,4,5,6,7,Ranked choice voting,LDPV,Gender,Age,<50 / 50+,Race,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
847100XXXX,02/25/20 10:19 PM,8041,80906,2,,,,,,,,,,,,,,,,,,,2,2,23,1,3,3,6,4,2,2,2,2,3,2,2,1,2,2,4,1.100950863
130510XXXX,02/26/20 11:30 AM,8041,80831,1,7,2,80,75,90,10,10,95,50,100,c8,c6,c3,c5,c1,c7,c4,2,1,2,37,1,3,2,5,2,3,2,2,1,4,2,2,2,2,2,4,0.804052797
713100XXXX,02/25/20 10:17 PM,8041,80911,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,44,1,3,1,2,1,1,1,3,1,2,2,2,2,2,2,4,0.899656096
206310XXXX,02/26/20 11:38 AM,8041,80903,1,4,,0,0,0,0,0,0,0,0,,,,,,,,,2,1,61,2,3,1,2,1,1,1,3,1,3,2,2,2,2,1,4,0.927641389
309100XXXX,02/25/20 11:05 PM,8041,80909,1,7,1,60,50,25,10,5,20,20,30,,,,,,,,,2,1,43,1,3,3,3,1,2,2,2,2,1,2,2,2,2,1,4,0.899656096
568100XXXX,02/26/20 11:45 AM,8041,80903,1,7,2,40,60,40,30,15,50,20,15,c3,c4,c1,c2,c6,c7,c8,2,1,1,20,1,3,2,6,4,2,3,1,2,4,2,2,2,2,2,4,1.148495507
644100XXXX,02/25/20 10:17 PM,8043,81212,1,6,3,0,5,5,0,5,5,0,0,,,,,,,,,2,2,35,1,3,3,3,2,2,3,2,2,1,2,2,1,2,3,4,0.804052797
581100XXXX,02/26/20 11:47 AM,8045,81635,1,7,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,54,2,3,1,1,1,2,1,3,2,4,2,2,2,2,3,4,0.927641389
223310XXXX,02/26/20 01:51 PM,8059,80401,1,4,,50,23,67,26,20,25,5,15,,,,,,,,,2,1,18,1,1,4,4,3,1,2,2,2,2,2,1,2,2,3,4,0.933212855
130810XXXX,02/26/20 11:29 AM,8059,80002,2,,,,,,,,,,,,,,,,,,,2,2,56,2,3,1,3,4,2,3,2,2,3,2,2,2,2,2,4,0.948053008
657100XXXX,02/25/20 10:17 PM,8067,81122,1,6,2,85,60,85,65,90,75,65,75,c5,c3,c8,c6,c1,c4,c2,1,1,2,43,1,3,2,4,2,3,3,2,1,4,2,2,2,2,3,4,0.804052797
181610XXXX,02/26/20 11:35 AM,8067,81122,1,7,2,25,75,60,0,0,75,0,100,c8,c3,c6,c2,c5,c7,c1,2,1,2,68,2,3,3,4,2,3,2,2,2,4,2,2,1,2,3,4,0.71232693
115100XXXX,02/25/20 10:38 PM,8067,81303,1,6,1,33,61,54,66,23,50,2,23,,,,,,,,,2,1,43,1,3,3,3,1,2,2,1,2,2,2,2,1,2,3,4,0.899656096
476100XXXX,02/25/20 10:16 PM,8069,80549,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,22,1,3,1,2,1,2,1,1,1,3,2,2,1,2,1,4,1.100950863
101810XXXX,02/25/20 10:21 PM,8069,80513,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,39,1,3,1,3,1,1,2,1,1,2,2,2,2,2,2,4,0.899656096
215010XXXX,02/26/20 12:41 PM,8069,80525,2,,,,,,,,,,,,,,,,,,,2,1,49,1,3,1,2,4,2,1,3,2,1,1,2,2,2,2,4,0.899656096
151810XXXX,02/26/20 11:31 AM,8077,81504,1,6,2,45,50,60,13,25,75,10,65,c6,c8,c1,c2,c3,c5,c7,1,1,2,37,1,3,2,4,2,3,2,2,1,2,2,2,2,2,3,4,0.804052797
121310XXXX,02/25/20 10:29 PM,8077,81504,1,6,1,10,10,0,10,10,0,0,0,,,,,,,,,2,1,68,2,3,1,1,1,2,2,2,2,1,1,2,2,2,2,4,0.598775594
218810XXXX,02/26/20 12:42 PM,8077,81505,1,6,1,0,50,0,0,0,0,0,0,,,,,,,,,2,1,22,1,3,1,2,1,2,1,1,2,1,2,2,2,1,2,4,1.148495507
249100XXXX,02/25/20 10:09 PM,8083,81328,1,4,,22,2,22,2,22,88,22,2,,,,,,,,,2,2,30,1,3,2,3,2,2,2,1,2,4,2,2,2,2,3,4,1.100950863
120100XXXX,02/25/20 10:09 PM,8083,81328,1,1,,11,11,11,11,11,11,12,11,,,,,,,,,2,1,30,1,3,2,4,2,2,2,1,2,4,3,2,2,2,1,4,1.148495507
220110XXXX,02/26/20 12:45 PM,8101,81003,1,7,2,0,50,0,0,0,50,0,0,c6,c2,c3,c1,c5,c8,c9,5,1,1,75,2,1,2,3,1,1,1,2,2,2,2,2,2,2,1,4,1.115120223
184010XXXX,02/26/20 11:33 AM,8103,81641,1,3,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,59,2,3,3,3,4,3,1,3,2,4,1,2,2,2,3,4,0.948053008
391100XXXX,02/25/20 10:15 PM,8105,81144,2,,,,,,,,,,,,,,,,,,,2,1,33,1,1,2,3,1,1,1,3,2,2,2,2,2,2,3,4,0.933212855
106110XXXX,02/25/20 10:20 PM,8119,80863,1,5,1,25,10,15,10,0,15,0,0,,,,,,,,,2,2,41,1,3,1,2,1,3,3,2,1,2,2,2,2,2,2,4,0.804052797
777100XXXX,02/25/20 10:19 PM,8123,80634,1,7,2,100,100,100,100,100,100,100,100,c3,c6,c8,c9,,,,,1,2,34,1,3,2,4,2,3,1,2,2,4,2,2,2,2,2,4,1.100950863
138310XXXX,02/26/20 11:30 AM,9001,6851,1,5,2,40,30,40,0,10,70,20,50,c6,c8,c3,c9,,,,,1,1,31,1,1,2,5,2,2,1,1,2,4,2,2,2,2,2,1,0.863343069
159610XXXX,02/26/20 11:29 AM,9001,6606,1,6,2,20,50,20,0,20,40,0,1,c6,c2,c1,c9,,,,,1,1,21,1,1,2,3,3,3,2,1,3,3,1,1,2,2,2,1,0.863343069
987100XXXX,02/25/20 10:21 PM,9001,6902,1,2,,0,0,0,0,0,0,0,0,,,,,,,,,2,1,46,1,3,2,4,2,1,1,1,2,2,1,1,2,2,1,1,0.736103707
342100XXXX,02/25/20 11:14 PM,9001,6907,1,6,5,,,,,,,,,,,,,,,,,2,1,58,2,3,1,1,1,2,3,2,1,3,1,2,2,2,2,1,0.931934826
781000XXXX,02/25/20 10:32 PM,9003,6082,1,6,2,70,30,40,30,20,10,10,80,c8,c1,c6,c2,c3,c7,c4,1,1,1,34,1,1,1,3,1,3,2,2,1,1,1,2,1,2,2,1,0.863343069
190310XXXX,02/26/20 11:32 AM,9003,6051,1,6,2,50,0,50,0,0,90,0,0,c6,c3,c1,c8,c9,,,1,1,2,35,1,3,3,4,3,2,2,1,2,4,3,2,2,2,1,1,0.854303724
471000XXXX,02/25/20 10:29 PM,9003,6010,2,,,,,,,,,,,,,,,,,,,2,1,44,1,3,3,6,5,1,1,1,2,2,3,2,2,2,3,1,0.736103707
528100XXXX,02/26/20 11:42 AM,9003,6106,1,5,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,31,1,3,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1.176570157
203810XXXX,02/26/20 11:32 AM,9005,6786,1,5,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,48,1,3,1,3,1,1,1,2,1,1,2,2,2,2,2,1,0.854303724
101910XXXX,02/25/20 10:20 PM,9005,6795,1,6,1,25,12,5,2,2,30,1,5,,,,,,,,,2,1,48,1,3,3,2,1,3,2,2,1,1,2,2,2,2,2,1,0.736103707
412100XXXX,02/26/20 12:11 AM,9005,6790,1,6,1,0,10,0,0,0,0,0,0,,,,,,,,,2,1,53,2,3,1,2,1,2,3,2,1,2,2,1,2,2,3,1,0.931934826
151100XXXX,02/25/20 10:12 PM,9009,6410,1,6,2,100,100,100,5,100,80,30,100,c5,c3,c2,c1,c8,c7,c6,2,1,2,57,2,3,2,5,2,3,2,2,2,1,2,2,2,2,2,1,0.780269285
399100XXXX,02/25/20 10:15 PM,9009,6401,3,,,,,,,,,,,,,,,,,,,2,2,61,2,3,3,1,4,2,1,3,2,3,1,2,1,2,2,1,0.780269285
102210XXXX,02/25/20 10:21 PM,9009,6460,1,7,2,60,50,60,40,50,80,40,50,c6,c8,c5,c9,,,,,1,2,48,1,3,2,5,2,3,2,3,1,4,2,2,2,1,2,1,0.854303724
129810XXXX,02/26/20 11:29 AM,9009,6770,1,3,,40,40,20,20,20,50,20,20,,,,,,,,,2,2,31,1,3,2,4,4,1,1,3,1,4,3,1,2,2,2,1,0.764635286
166910XXXX,02/26/20 11:32 AM,9009,6405,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,41,1,3,1,1,1,3,3,2,2,2,2,2,2,2,2,1,0.854303724
194210XXXX,02/26/20 11:32 AM,9009,6410,1,6,2,55,40,60,2,55,4,2,50,c3,c5,c1,c8,c4,c2,c9,5,1,2,59,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,1,0.780269285
118310XXXX,02/25/20 10:25 PM,9009,6708,1,6,2,80,100,50,0,0,100,100,0,c2,c7,c6,c1,c3,c8,c9,1,1,1,56,2,3,2,5,1,2,1,1,2,2,2,2,2,1,2,1,0.931934826
203100XXXX,02/25/20 10:51 PM,9009,6473,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,27,1,3,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1.176570157
990100XXXX,02/25/20 10:20 PM,9011,6384,1,6,3,50,50,50,0,0,60,5,40,,,,,,,,,2,2,38,1,3,3,5,2,3,2,1,2,4,2,2,1,2,3,1,0.854303724
196110XXXX,02/26/20 11:32 AM,9011,6351,1,3,,80,70,30,20,30,80,20,50,,,,,,,,,2,2,35,1,3,3,3,4,2,1,1,2,4,2,2,2,2,3,1,0.854303724
121010XXXX,02/25/20 10:28 PM,9011,6371,1,6,2,75,75,60,40,60,50,50,60,c6,c2,c1,c5,c8,c3,c9,1,1,1,66,2,3,2,4,2,2,3,2,1,2,2,2,2,2,2,1,0.618763507
221110XXXX,02/26/20 01:09 PM,9011,6351,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,74,2,3,3,1,1,2,2,3,2,2,2,2,1,2,1,1,0.618763507
723100XXXX,02/25/20 10:17 PM,9013,6268,1,5,2,95,50,90,85,60,95,75,95,c6,c8,c3,c5,c4,c1,c7,1,1,1,30,1,3,2,5,2,3,1,1,2,1,2,2,2,2,3,1,1.176570157
194010XXXX,02/26/20 11:32 AM,9015,6331,1,8,,,,,,,,,,,,,,,,,,2,2,60,2,3,3,2,1,1,2,2,2,4,2,2,2,2,3,1,0.780269285
209510XXXX,02/26/20 12:40 PM,10003,19805,1,5,2,60,10,75,10,10,50,10,10,c3,c1,c6,c9,,,,,1,1,52,2,1,2,3,2,1,1,3,1,2,2,2,2,2,1,3,0.624475369
681000XXXX,02/25/20 10:08 PM,10003,19808,1,4,,50,0,50,0,0,0,0,0,,,,,,,,,2,2,62,2,4,3,3,1,2,3,2,2,4,2,2,2,2,2,3,1.1188231
533100XXXX,02/25/20 10:19 PM,10003,19713,2,,,,,,,,,,,,,,,,,,,2,2,43,1,3,3,6,4,1,2,1,1,2,2,2,2,2,2,3,0.647561373
130910XXXX,02/26/20 11:30 AM,10003,19711,1,4,,35,50,0,0,0,50,0,25,,,,,,,,,2,2,22,1,3,1,2,1,2,2,1,2,3,3,2,2,2,2,3,0.630920158
153100XXXX,02/25/20 10:12 PM,10003,19720,1,6,1,10,0,0,0,0,15,0,5,,,,,,,,,2,1,21,1,3,1,3,1,2,1,1,2,2,1,2,2,2,3,3,1.029281718
377100XXXX,02/25/20 10:15 PM,10003,19720,1,5,2,80,90,70,70,90,90,60,90,c1,c6,c7,c5,c4,c8,c2,1,1,1,50,2,3,2,4,3,2,2,2,2,1,1,2,2,2,2,3,0.807961723
536100XXXX,02/25/20 10:19 PM,10003,19802,1,3,,50,50,40,40,55,45,40,45,,,,,,,,,2,1,38,1,3,3,2,2,1,2,1,2,2,2,2,2,2,1,3,0.616342712
150810XXXX,02/26/20 11:31 AM,10003,19802,1,6,2,40,10,10,3,10,50,30,40,c8,c6,c1,c2,c9,,,1,1,1,44,1,2,2,3,2,2,2,1,2,1,2,2,2,2,1,3,0.730263431
166100XXXX,02/25/20 10:45 PM,10003,19701,2,,,,,,,,,,,,,,,,,,,2,1,25,1,6,4,6,4,1,1,1,2,4,2,2,2,2,1,3,0.999525317
279100XXXX,02/25/20 11:01 PM,10003,19709,1,1,,50,50,0,0,0,0,0,0,,,,,,,,,2,1,45,1,3,4,3,4,1,1,1,1,2,2,2,2,2,2,3,0.616342712
362100XXXX,02/25/20 11:25 PM,10003,19720,2,,,,,,,,,,,,,,,,,,,2,1,50,2,3,1,3,1,1,1,1,2,1,2,2,1,2,1,3,0.807961723
593100XXXX,02/26/20 11:51 AM,10003,19805,1,6,2,30,15,20,0,5,25,0,5,c1,c3,c6,c8,c5,c9,,5,1,1,62,2,3,3,3,3,2,1,1,2,1,2,2,2,2,2,3,0.807961723
125610XXXX,02/25/20 10:47 PM,10005,19970,1,6,3,50,20,5,5,10,10,5,10,,,,,,,,,2,1,69,2,3,3,3,2,3,3,2,2,1,2,2,1,2,2,3,0.67613288
424100XXXX,02/26/20 04:03 AM,11001,20210,1,8,,,,,,,,,,,,,,,,,,2,1,56,2,1,4,3,1,1,1,2,2,4,2,2,2,2,1,3,0.624475369
470100XXXX,02/25/20 10:16 PM,11001,20005,1,3,,60,2,2,1,2,50,2,10,,,,,,,,,2,2,20,1,6,3,3,4,2,2,1,2,2,2,2,2,1,2,3,0.53893458
144310XXXX,02/26/20 11:30 AM,11001,20019,1,4,,100,100,100,100,100,100,100,100,,,,,,,,,2,2,33,1,2,2,3,4,1,1,1,1,4,2,2,2,1,1,3,0.781752262
203910XXXX,02/26/20 11:32 AM,11001,20011,1,5,5,,,,,,,,,,,,,,,,,2,2,37,1,3,4,3,4,3,2,1,2,3,2,2,2,1,1,3,0.647561373
751100XXXX,02/25/20 10:19 PM,11001,20001,1,6,1,5,2,3,5,2,1,1,5,,,,,,,,,2,1,35,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,3,0.730263431
146810XXXX,02/26/20 11:30 AM,11001,20003,1,6,2,90,10,0,0,0,0,0,0,c1,c2,c5,c3,c6,c8,c4,1,1,1,40,1,3,2,5,2,3,3,2,1,1,1,1,2,2,1,3,0.616342712
100100XXXX,02/25/20 10:35 PM,11001,20001,1,4,,10,0,30,0,0,0,0,20,,,,,,,,,2,1,30,1,3,2,2,1,3,3,2,1,2,2,2,1,2,1,3,1.029281718
465100XXXX,02/26/20 11:36 AM,11001,20032,1,4,,80,20,50,2,10,70,50,40,,,,,,,,,2,1,25,1,2,2,2,2,1,2,1,1,3,2,2,2,2,2,3,0.965410792
808100XXXX,02/25/20 10:20 PM,12001,32641,1,6,1,5,0,0,0,0,0,1,2,,,,,,,,,2,1,46,1,3,2,5,1,1,2,3,1,4,1,2,2,2,3,3,0.616342712
178610XXXX,02/26/20 11:32 AM,12001,32608,2,,,,,,,,,,,,,,,,,,,2,1,20,1,3,3,4,4,2,1,1,2,2,2,2,2,2,1,3,1.029281718
611000XXXX,02/25/20 10:30 PM,12005,32401,1,4,,20,40,25,10,5,25,10,5,,,,,,,,,2,1,52,2,3,1,3,1,2,2,2,1,1,1,2,2,2,2,3,0.807961723
551100XXXX,02/26/20 11:44 AM,12005,32413,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,63,2,3,1,1,1,3,3,2,2,3,2,2,1,2,2,3,0.807961723
101100XXXX,02/25/20 10:09 PM,12009,32934,1,6,2,50,100,50,20,50,50,50,60,c2,c3,c8,c5,c7,c9,,2,1,2,73,2,4,2,6,4,3,2,2,2,4,3,2,1,2,1,3,2.993370686
430100XXXX,02/25/20 10:09 PM,12009,32905,1,6,2,20,20,10,30,50,30,20,30,c2,c6,c8,c5,c7,c3,c1,2,1,1,50,2,3,2,5,2,3,1,3,2,4,2,2,2,2,1,3,0.807961723
151510XXXX,02/26/20 11:31 AM,12009,32908,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,36,1,3,1,1,1,2,2,2,1,1,1,2,2,2,1,3,0.616342712
891000XXXX,02/25/20 10:08 PM,12011,33305,1,6,2,100,100,100,0,60,75,0,75,c3,c1,c8,c6,c2,c5,c9,1,1,2,56,2,1,2,4,2,2,3,2,2,3,2,2,2,1,1,3,2.199029494
102610XXXX,02/25/20 10:20 PM,12011,33029,1,5,2,80,100,0,0,0,80,0,60,c2,c6,c1,c8,c3,c9,,2,1,2,42,1,1,2,3,2,3,3,2,1,2,2,2,2,2,2,3,0.83118053
118410XXXX,02/25/20 10:23 PM,12011,33029,1,6,2,90,85,15,0,25,45,15,15,c2,c1,c5,c8,c6,c3,c7,3,1,2,46,1,1,2,4,2,3,3,1,2,4,2,2,2,2,2,3,0.83118053
136610XXXX,02/26/20 11:30 AM,12011,33023,1,6,2,25,25,25,0,0,25,0,0,c1,c2,c3,c8,c7,c4,c5,5,1,1,37,1,1,2,3,2,2,1,1,2,1,1,2,2,2,1,3,1.304161943
304100XXXX,02/25/20 10:55 PM,12011,33064,2,,,,,,,,,,,,,,,,,,,2,1,32,1,1,2,2,4,1,1,1,2,2,2,2,2,2,1,3,1.232402347
311000XXXX,02/25/20 10:06 PM,12011,33021,1,4,,50,50,15,10,5,20,15,5,,,,,,,,,2,2,39,1,3,1,3,4,2,1,2,1,3,1,2,2,2,1,3,0.647561373
541000XXXX,02/25/20 10:07 PM,12011,33319,1,6,2,100,66,100,38,38,100,38,100,c1,c3,c6,c8,c2,c5,c4,1,1,2,61,2,3,2,5,2,3,3,2,2,3,2,2,2,2,2,3,0.750664219
252100XXXX,02/25/20 10:14 PM,12011,33313,2,,,,,,,,,,,,,,,,,,,2,2,45,1,2,2,4,4,3,1,2,1,1,1,2,2,2,1,3,1.026332677
368100XXXX,02/25/20 10:15 PM,12011,33064,1,6,2,5,25,15,0,30,5,15,10,c5,c1,c9,,,,,,1,2,23,1,2,2,5,2,3,2,1,2,4,2,2,2,1,2,3,0.781752262
571100XXXX,02/25/20 10:18 PM,12011,33021,1,6,2,85,75,70,20,50,100,20,75,c6,c1,c8,c2,c3,c9,,2,1,2,37,1,3,2,5,2,1,2,3,1,4,2,2,2,2,2,3,0.647561373
629100XXXX,02/25/20 10:17 PM,12011,33069,2,,,,,,,,,,,,,,,,,,,2,2,58,2,2,4,2,5,1,1,3,2,3,2,2,2,2,3,3,1.35562057
717100XXXX,02/25/20 10:17 PM,12011,33308,1,6,2,100,0,0,0,0,0,0,0,c1,c9,,,,,,,1,2,37,1,3,2,2,1,1,1,1,2,4,2,2,2,2,2,3,0.647561373
783100XXXX,02/25/20 10:19 PM,12011,33063,1,6,2,80,50,50,20,15,10,70,66,c3,c1,c8,c9,,,,,1,2,26,1,3,2,3,2,1,2,2,1,3,2,2,2,2,2,3,0.630920158
151910XXXX,02/26/20 11:31 AM,12011,33066,2,,,,,,,,,,,,,,,,,,,2,2,24,1,3,4,6,4,1,3,1,2,4,2,2,2,1,1,3,0.630920158
197810XXXX,02/26/20 11:31 AM,12011,33024,2,,,,,,,,,,,,,,,,,,,2,2,29,1,6,4,6,5,3,1,2,2,3,2,2,2,2,3,3,0.53893458
195100XXXX,02/25/20 10:13 PM,12011,33321,1,1,,0,50,0,0,0,0,0,0,,,,,,,,,2,1,44,1,3,3,3,3,1,3,1,2,3,1,2,1,2,1,3,0.616342712
493100XXXX,02/25/20 10:16 PM,12011,33024,1,6,2,55,70,85,70,80,67,30,88,c2,c4,c1,c7,c5,c8,c6,2,1,1,35,1,3,2,3,1,3,2,2,2,4,2,2,2,2,2,3,0.616342712
828100XXXX,02/25/20 10:20 PM,12011,33330,2,,,,,,,,,,,,,,,,,,,2,1,19,1,3,3,3,4,1,1,1,2,4,2,2,2,2,3,3,1.029281718
199210XXXX,02/26/20 11:32 AM,12011,33024,1,6,2,50,50,50,10,25,75,50,50,c6,c2,c8,c3,c1,c5,c7,4,1,1,65,2,3,3,5,2,3,2,2,2,3,2,2,2,2,2,3,0.67613288
154100XXXX,02/25/20 10:44 PM,12011,33312,1,1,,0,10,10,0,0,20,0,10,,,,,,,,,2,1,29,1,3,2,5,1,3,3,2,1,2,1,2,2,2,2,3,1.029281718
192100XXXX,02/25/20 10:50 PM,12011,33066,1,5,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,30,1,6,3,3,1,2,2,1,2,2,2,2,2,1,2,3,0.999525317
542100XXXX,02/26/20 11:43 AM,12011,33064,1,6,1,0,0,20,20,15,25,20,15,,,,,,,,,2,1,51,2,3,1,1,1,3,2,1,2,1,1,2,2,2,1,3,0.807961723
569100XXXX,02/26/20 11:45 AM,12011,33020,1,5,2,70,30,55,0,60,50,0,50,c1,c5,c3,c8,c6,c7,c4,4,1,1,64,2,3,2,5,2,1,1,1,2,4,2,2,2,2,2,3,0.807961723
196410XXXX,02/26/20 11:32 AM,12015,33950,1,5,2,90,100,100,0,0,0,0,0,c3,c2,c1,c9,,,,,1,2,72,2,3,2,4,4,3,1,3,2,4,2,2,2,2,2,3,0.789827415
119110XXXX,02/25/20 10:24 PM,12017,34446,1,3,,10,50,30,10,10,30,10,20,,,,,,,,,2,1,56,2,3,2,4,2,1,1,2,2,2,1,2,2,2,3,3,0.807961723
311100XXXX,02/25/20 11:06 PM,12017,34450,2,,,,,,,,,,,,,,,,,,,2,1,49,1,3,3,6,4,1,1,1,1,4,2,2,2,2,3,3,0.616342712
264100XXXX,02/25/20 10:14 PM,12019,32073,1,1,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,29,1,6,3,3,4,1,1,1,2,4,1,2,2,2,2,3,0.53893458
189210XXXX,02/26/20 11:32 AM,12019,32065,1,6,1,50,25,25,10,10,25,10,50,,,,,,,,,2,2,69,2,3,3,3,1,2,2,3,2,2,1,2,2,2,2,3,0.789827415
152110XXXX,02/26/20 11:31 AM,12019,32003,1,4,,0,10,0,0,0,20,0,0,,,,,,,,,2,1,36,1,3,1,2,1,2,3,2,1,4,2,2,2,2,2,3,0.616342712
274100XXXX,02/25/20 11:00 PM,12019,32068,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,28,1,3,1,1,1,1,2,1,2,3,1,1,2,2,3,3,1.029281718
177610XXXX,02/26/20 11:33 AM,12021,34104,1,5,2,0,30,0,0,0,30,0,40,c6,c8,c1,c9,,,,,1,2,33,1,1,2,4,3,2,2,2,1,4,2,2,2,2,2,3,0.767880689
109410XXXX,02/25/20 10:23 PM,12021,34120,1,6,1,100,100,100,100,100,100,100,100,,,,,,,,,2,1,65,2,3,3,3,2,3,2,2,2,2,2,2,2,2,1,3,0.67613288
989100XXXX,02/25/20 10:21 PM,12023,32025,1,7,1,0,0,0,0,0,0,0,0,,,,,,,,,2,2,56,2,3,1,3,1,3,3,2,2,2,2,1,2,2,2,3,0.750664219
532100XXXX,02/26/20 11:42 AM,12031,32216,1,6,2,60,55,90,0,40,50,55,60,c3,c1,c8,c9,,,,,1,1,35,1,1,2,3,2,2,2,2,2,2,2,2,2,2,1,3,1.304161943
140510XXXX,02/26/20 11:30 AM,12031,32250,2,,,,,,,,,,,,,,,,,,,2,2,70,2,3,3,3,3,2,1,1,2,2,2,2,2,2,2,3,0.789827415
204610XXXX,02/26/20 11:32 AM,12031,32225,1,1,,45,55,0,0,0,65,0,0,,,,,,,,,2,2,39,1,2,4,6,4,2,1,1,1,4,2,2,1,2,1,3,1.026332677
213110XXXX,02/26/20 12:40 PM,12031,32217,1,6,2,50,80,30,15,5,100,5,10,c6,c2,c1,c3,c8,c5,c7,2,1,2,36,1,2,2,4,2,3,2,2,1,4,2,2,1,2,1,3,1.026332677
214010XXXX,02/26/20 12:41 PM,12031,32246,1,6,2,20,20,20,0,0,20,0,20,c9,,,,,,,,1,2,50,2,3,2,3,2,2,3,1,1,1,2,2,2,2,2,3,0.750664219
621000XXXX,02/25/20 10:07 PM,12031,32258,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,69,2,3,1,1,1,2,3,2,2,1,1,2,1,2,2,3,0.67613288
534100XXXX,02/25/20 10:19 PM,12031,32211,1,6,1,20,40,30,30,20,60,10,30,,,,,,,,,2,1,41,1,3,1,2,1,1,1,2,1,3,2,2,2,2,1,3,0.616342712
126410XXXX,02/26/20 11:29 AM,12031,32205,1,4,,25,25,0,0,0,25,0,25,,,,,,,,,2,1,26,1,2,2,1,3,2,3,2,1,4,2,1,2,2,3,3,0.965410792
122100XXXX,02/25/20 10:39 PM,12031,32218,1,4,,0,0,0,0,0,0,100,0,,,,,,,,,2,1,31,1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,3,0.965410792
274100XXXX,02/25/20 10:14 PM,12033,32503,1,6,2,50,50,40,0,0,40,0,60,c8,c3,c6,c1,c9,,,5,1,2,32,1,3,2,5,2,2,3,2,2,1,2,2,2,2,2,3,0.630920158
288100XXXX,02/25/20 10:14 PM,12033,32526,1,6,2,85,0,0,0,0,100,0,85,c6,c8,c9,,,,,,1,2,28,1,3,2,5,2,2,1,1,2,4,2,2,2,1,2,3,0.630920158
340100XXXX,02/25/20 11:11 PM,12047,32096,2,,,,,,,,,,,,,,,,,,,2,1,54,2,3,1,6,4,1,2,2,1,2,2,2,2,2,2,3,0.807961723
550100XXXX,02/25/20 10:18 PM,12049,33834,1,6,1,5,5,5,5,5,80,5,5,,,,,,,,,2,2,40,1,4,1,1,1,2,2,2,1,1,1,2,2,2,1,3,0.750282786
182510XXXX,02/26/20 11:34 AM,12053,34607,1,5,1,25,10,10,0,20,30,0,10,,,,,,,,,2,1,65,2,3,1,2,1,2,1,3,2,1,2,2,2,2,2,3,0.67613288
210010XXXX,02/26/20 12:40 PM,12053,34609,1,6,2,3,2,2,0,0,73,20,0,c6,c7,c9,,,,,,1,1,28,1,3,3,4,2,3,2,1,1,3,2,2,2,2,1,3,1.029281718
143510XXXX,02/26/20 11:30 AM,12055,33852,1,6,2,5,70,15,0,0,10,0,0,c2,c3,c9,,,,,,1,2,73,2,3,2,4,2,2,2,3,2,3,2,2,2,2,3,3,0.789827415
143210XXXX,02/26/20 11:30 AM,12057,33611,1,2,,0,100,0,0,50,0,50,1,,,,,,,,,2,2,30,1,1,3,3,3,2,2,2,2,4,3,2,2,2,2,3,0.767880689
157710XXXX,02/26/20 11:31 AM,12057,33511,1,5,3,25,25,0,0,0,50,0,15,,,,,,,,,2,2,38,1,1,3,3,1,3,3,2,1,1,3,2,2,2,2,3,0.83118053
148010XXXX,02/26/20 11:30 AM,12057,33637,1,7,2,95,76,20,0,0,80,10,0,c1,c2,c6,c9,,,,,1,1,54,2,1,2,5,2,2,1,3,2,2,2,2,2,2,1,3,0.624475369
223510XXXX,02/26/20 01:52 PM,12057,33572,2,,,,,,,,,,,,,,,,,,,2,1,54,2,1,2,2,4,1,1,1,1,2,2,2,2,2,2,3,0.624475369
367100XXXX,02/25/20 10:15 PM,12057,33634,2,,,,,,,,,,,,,,,,,,,2,2,36,1,3,3,2,4,2,2,1,1,2,2,2,2,1,2,3,0.647561373
553100XXXX,02/25/20 10:18 PM,12057,33570,1,3,,50,0,0,0,0,0,0,0,,,,,,,,,2,2,31,1,3,3,3,4,3,3,2,2,1,2,2,2,2,2,3,0.630920158
